"Progeny" "Sire" "Dam" "Sex" "G" "NMPrg" "NFPrg" "F" "Homo" "Phen" "Res" "Polygene" "QTL"
1 0 0 "M" 0 1 1 0 0.55 -14.2829778885474 -12.9352393033948 0 -1.3477385851526
2 0 0 "M" 0 2 3 0 0.55 -2.21637101818497 -4.66154336737516 0 2.44517234919019
3 0 0 "M" 0 4 1 0 0.54 -15.9208661608604 1.33814210334291 0 -17.2590082642033
4 0 0 "M" 0 2 0 0 0.556667 3.26389401190848 12.9447938742423 0 -9.68089986233377
5 0 0 "M" 0 1 1 0 0.553333 -23.205841460311 1.17840303330852 0 -24.3842444936195
6 0 0 "M" 0 4 1 0 0.55 -0.926162586058969 4.04490980014704 0 -4.97107238620601
7 0 0 "M" 0 2 3 0 0.516667 -2.178431074809 2.38910875571226 0 -4.56753983052126
8 0 0 "M" 0 1 1 0 0.543333 -15.2298019507556 -8.12350037615608 0 -7.10630157459953
9 0 0 "M" 0 3 1 0 0.553333 2.66210782738199 3.64366772678462 0 -0.981559899402632
10 0 0 "M" 0 1 1 0 0.576667 -5.68371394397099 -3.32524067964348 0 -2.35847326432752
11 0 0 "M" 0 1 1 0 0.556667 -6.95770827924234 -11.2595327626701 0 4.30182448342776
12 0 0 "M" 0 1 1 0 0.563333 -6.66582659338632 -3.7731669942177 0 -2.89265959916862
13 0 0 "M" 0 2 3 0 0.466667 -8.03319411884261 -1.35219867250072 0 -6.68099544634189
14 0 0 "M" 0 2 3 0 0.586667 11.554100869042 6.92093142689781 0 4.63316944214418
15 0 0 "M" 0 1 2 0 0.6 5.53403922763213 1.02417464113965 0 4.50986458649248
16 0 0 "M" 0 1 3 0 0.513333 10.6729235757596 -0.638963708837249 0 11.3118872845968
17 0 0 "M" 0 1 1 0 0.533333 -18.262840542611 -15.0387568313797 0 -3.22408371123136
18 0 0 "M" 0 2 2 0 0.55 -18.2957813512244 -7.44661496476228 0 -10.8491663864621
19 0 0 "M" 0 2 0 0 0.51 -20.7072660326703 -5.36514031947285 0 -15.3421257131974
20 0 0 "M" 0 4 1 0 0.536667 2.60443396390069 -5.98316113413136 0 8.58759509803205
21 0 0 "F" 0 0 1 0 0.54 -4.39595801845403 -8.59982465843897 0 4.20386663998494
22 0 0 "F" 0 2 1 0 0.57 -16.5576925329881 -1.10835781663447 0 -15.4493347163536
23 0 0 "F" 0 1 1 0 0.58 18.1976059240903 22.4735776282004 0 -4.27597170411013
24 0 0 "F" 0 3 0 0 0.576667 -26.9275632090601 -15.1613708858717 0 -11.7661923231884
25 0 0 "F" 0 1 1 0 0.553333 28.2861622368747 12.1434092029951 0 16.1427530338797
26 0 0 "F" 0 1 2 0 0.506667 -7.35738341109297 -0.815934122886231 0 -6.54144928820674
27 0 0 "F" 0 2 0 0 0.59 -2.42356779135023 4.68230618758634 0 -7.10587397893657
28 0 0 "F" 0 1 0 0 0.51 0.0604122129560212 -5.93320575382506 0 5.99361796678108
29 0 0 "F" 0 0 1 0 0.606667 -6.92509594077787 -0.312309295262787 0 -6.61278664551508
30 0 0 "F" 0 2 1 0 0.576667 -13.3947755950331 1.17908004729688 0 -14.57385564233
31 0 0 "F" 0 1 0 0 0.62 36.4068454696824 10.1891540643695 0 26.2176914053129
32 0 0 "F" 0 1 2 0 0.503333 17.6085126228234 8.04445793621212 0 9.5640546866113
33 0 0 "F" 0 1 2 0 0.6 -7.35519173412289 -1.07542619882087 0 -6.27976553530202
34 0 0 "F" 0 2 1 0 0.566667 7.30026571986937 7.74834988171805 0 -0.448084161848686
35 0 0 "F" 0 0 1 0 0.56 -1.22456391334834 -4.53398448145197 0 3.30942056810363
