"Progeny" "Sire" "Dam" "Sex" "G" "NMPrg" "NFPrg" "F" "Homo" "Phen" "Res" "Polygene" "QTL"
1 0 0 "M" 0 2 0 0 0.593333 1.64176853225786 0.165149896687323 0 1.47661863557054
2 0 0 "M" 0 0 2 0 0.59 0.209937316525977 0.110891175018641 0 0.0990461415073368
3 0 0 "M" 0 1 4 0 0.55 11.1101783613932 -9.7974018822 0 20.9075802435932
4 0 0 "M" 0 2 0 0 0.57 -22.8587431242576 -4.90776541689845 0 -17.9509777073591
5 0 0 "M" 0 1 1 0 0.563333 -15.8122988637146 -6.70807297684888 0 -9.10422588686574
6 0 0 "M" 0 3 2 0 0.536667 -2.88835503531765 -8.55721142858318 0 5.66885639326552
7 0 0 "M" 0 1 2 0 0.57 -0.655488355777125 -11.1839688843718 0 10.5284805285947
8 0 0 "M" 0 2 4 0 0.57 -23.8563770298704 -3.17036820870306 0 -20.6860088211674
9 0 0 "M" 0 1 1 0 0.51 12.2039139042919 5.34587773262001 0 6.85803617167185
10 0 0 "M" 0 3 1 0 0.553333 30.8453701979975 19.5389435035019 0 11.3064266944956
11 0 0 "M" 0 2 3 0 0.546667 -21.3604310028229 -5.77342155394748 0 -15.5870094488755
12 0 0 "M" 0 1 3 0 0.52 -6.28971353076603 -0.979230170548606 0 -5.31048336021743
13 0 0 "M" 0 1 2 0 0.503333 -7.10769571584756 2.47943516203594 0 -9.5871308778835
14 0 0 "M" 0 1 3 0 0.523333 0.778514794493342 5.8788589023916 0 -5.10034410789826
15 0 0 "M" 0 1 4 0 0.56 1.41369709598319 7.63174792343317 0 -6.21805082744998
16 0 0 "M" 0 2 2 0 0.61 23.8338290067832 11.5086179621246 0 12.3252110446586
17 0 0 "M" 0 1 3 0 0.553333 21.0036588723896 11.1860372209026 0 9.81762165148699
18 0 0 "M" 0 0 2 0 0.546667 -21.0917846965054 -8.76889296382369 0 -12.3228917326817
19 0 0 "M" 0 0 2 0 0.526667 -3.80198823406659 3.06479319465408 0 -6.86678142872068
20 0 0 "M" 0 0 2 0 0.603333 -9.15562686747982 13.6570114369445 0 -22.8126383044243
21 0 0 "F" 0 0 1 0 0.503333 12.7103308450126 3.61965167539872 0 9.09067916961387
22 0 0 "F" 0 0 3 0 0.486667 -9.80819454924791 0.250444446131218 0 -10.0586389953791
23 0 0 "F" 0 1 0 0 0.483333 -2.08984351513715 -13.1514323699275 0 11.0615888547903
24 0 0 "F" 0 0 3 0 0.523333 4.03803755466899 -15.0530705894391 0 19.0911081441081
25 0 0 "F" 0 2 1 0 0.586667 10.8566451468496 6.13476230048863 0 4.72188284636096
26 0 0 "F" 0 1 2 0 0.59 -5.71752967736879 1.52375569682508 0 -7.24128537419388
27 0 0 "F" 0 1 1 0 0.563333 2.4097346501513 10.9053016376807 0 -8.49556698752938
28 0 0 "F" 0 1 2 0 0.57 -5.19631901660964 2.65177497982832 0 -7.84809399643796
29 0 0 "F" 0 2 1 0 0.553333 -25.322600348711 -13.4665890541463 0 -11.8560112945647
30 0 0 "F" 0 1 0 0 0.513333 5.5625759973634 -4.45289776078638 0 10.0154737581498
31 0 0 "F" 0 0 3 0 0.52 -25.9657695618883 -15.7326870717356 0 -10.2330824901527
32 0 0 "F" 0 2 1 0 0.526667 -2.18273925887249 5.81239709075736 0 -7.99513634962984
33 0 0 "F" 0 0 1 0 0.65 9.00683071162034 10.0139492997027 0 -1.00711858808233
34 0 0 "F" 0 1 0 0 0.533333 16.6982768593629 4.39520004281536 0 12.3030768165476
35 0 0 "F" 0 3 0 0 0.526667 0.657003797659563 -3.7111935575248 0 4.36819735518436
36 0 0 "F" 0 1 2 0 0.556667 12.166625634457 17.4993376056814 0 -5.33271197122445
37 0 0 "F" 0 1 2 0 0.556667 -1.41305059915776 -5.85141876889485 0 4.43836816973708
38 0 0 "F" 0 2 1 0 0.55 3.09622293548047 11.0559922510362 0 -7.95976931555571
39 0 0 "F" 0 0 2 0 0.516667 -2.96459912107961 -3.2463154653984 0 0.281716344318789
40 0 0 "F" 0 0 3 0 0.513333 -7.5945133003418 -2.27574078994864 0 -5.31877251039316
41 0 0 "F" 0 1 0 0 0.596667 -33.7065343462103 -22.1152832289806 0 -11.5912511172297
