"Progeny" "Sire" "Dam" "Sex" "G" "NMPrg" "NFPrg" "F" "Homo" "Phen" "Res" "Polygene" "QTL"
1 0 0 "M" 0 1 1 0 0.526667 -2.18634481785292 -5.02192350531457 0 2.83557868746165
2 0 0 "M" 0 0 3 0 0.54 5.10492691669881 1.31531165327303 0 3.78961526342578
3 0 0 "M" 0 1 1 0 0.556667 10.918771991081 -0.7891708981887 0 11.7079428892697
4 0 0 "M" 0 1 1 0 0.506667 -16.9945268387879 8.86784809417845 0 -25.8623749329664
5 0 0 "M" 0 2 2 0 0.573333 6.43521341254352 1.16971270510841 0 5.2655007074351
6 0 0 "M" 0 1 5 0 0.54 2.04866880995459 3.18630087617032 0 -1.13763206621573
7 0 0 "M" 0 0 2 0 0.573333 -28.3184953683469 -5.8179068471591 0 -22.5005885211878
8 0 0 "M" 0 2 2 0 0.563333 1.3300330882016 7.14532710891568 0 -5.81529402071408
9 0 0 "M" 0 3 2 0 0.62 -7.12703566366757 -8.25259425862769 0 1.12555859496012
10 0 0 "M" 0 3 1 0 0.543333 10.5825653584683 -3.59862131395465 0 14.181186672423
11 0 0 "M" 0 3 0 0 0.56 -17.3575227485768 0.898861437775305 0 -18.2563841863521
12 0 0 "M" 0 2 2 0 0.583333 -3.77143308307765 0.962744602851301 0 -4.73417768592895
13 0 0 "M" 0 2 3 0 0.576667 -4.79854394800096 -2.01633952183354 0 -2.78220442616741
14 0 0 "M" 0 0 2 0 0.49 -0.2416100346479 7.39840499878431 0 -7.64001503343221
15 0 0 "M" 0 2 2 0 0.606667 -0.788059293562182 1.23379501088869 0 -2.02185430445088
16 0 0 "M" 0 1 4 0 0.536667 -21.0126076307841 -0.293167092293474 0 -20.7194405384906
17 0 0 "M" 0 3 1 0 0.553333 -36.3925814239957 -3.88854246903499 0 -32.5040389549607
18 0 0 "M" 0 1 1 0 0.55 8.61670385337011 5.10856257369925 0 3.50814127967086
19 0 0 "M" 0 0 3 0 0.513333 -20.3050907487609 -9.13814185369186 0 -11.1669488950691
20 0 0 "M" 0 2 0 0 0.526667 15.0526590552911 23.1029682277906 0 -8.05030917249948
21 0 0 "F" 0 2 1 0 0.513333 -28.8004003644714 -4.38089981127317 0 -24.4195005531982
22 0 0 "F" 0 1 0 0 0.5 -3.8911257686846 7.64060616410438 0 -11.531731932789
23 0 0 "F" 0 2 1 0 0.533333 -13.5793183888127 2.61961291392879 0 -16.1989313027415
24 0 0 "F" 0 3 0 0 0.57 6.26193838623684 7.73404596778447 0 -1.47210758154763
25 0 0 "F" 0 2 1 0 0.553333 8.82963325922134 -8.14379124875453 0 16.9734245079759
26 0 0 "F" 0 1 1 0 0.52 -6.95644957262462 -4.38450569074609 0 -2.57194388187854
27 0 0 "F" 0 0 3 0 0.556667 -4.98861555250743 -7.20221550216076 0 2.21359994965333
28 0 0 "F" 0 3 0 0 0.563333 -1.98945746658013 2.30944532252633 0 -4.29890278910646
29 0 0 "F" 0 1 2 0 0.57 -32.0221000328735 -11.5772946239983 0 -20.4448054088752
30 0 0 "F" 0 0 1 0 0.563333 -17.8063263106979 2.47075992728822 0 -20.2770862379861
31 0 0 "F" 0 1 2 0 0.546667 4.57831422394011 -0.911135614728243 0 5.48944983866835
32 0 0 "F" 0 2 1 0 0.576667 10.5919527556945 17.5737562202805 0 -6.98180346458601
33 0 0 "F" 0 1 1 0 0.586667 -3.14357513765733 -1.37929611731146 0 -1.76427902034587
34 0 0 "F" 0 1 2 0 0.563333 -14.369974239233 -1.11193495282428 0 -13.2580392864087
35 0 0 "F" 0 1 1 0 0.556667 -17.7857634800198 -6.90014320569417 0 -10.8856202743256
36 0 0 "F" 0 0 1 0 0.54 13.6257033864806 -2.21794230019693 0 15.8436456866775
37 0 0 "F" 0 2 0 0 0.556667 -6.67831119970092 1.82907683594697 0 -8.50738803564789
38 0 0 "F" 0 1 0 0 0.526667 -4.79190626977277 4.17323286226749 0 -8.96513913204025
