"Progeny" "Sire" "Dam" "Sex" "G" "NMPrg" "NFPrg" "F" "Homo" "Phen" "Res" "Polygene" "QTL"
1 0 0 "M" 0 3 2 0 0.546667 24.2565110795739 11.1842821085624 0 13.0722289710115
2 0 0 "M" 0 3 0 0 0.613333 4.95337145557347 -0.792899560918654 0 5.74627101649213
3 0 0 "M" 0 2 3 0 0.576667 27.0183186800674 14.811272809492 0 12.2070458705754
4 0 0 "M" 0 1 1 0 0.56 17.404010513378 9.36357738612965 0 8.0404331272483
5 0 0 "M" 0 3 2 0 0.58 24.3317550583582 22.6309406237787 0 1.70081443457951
6 0 0 "M" 0 3 2 0 0.586667 19.4371704507373 20.7001275526071 0 -1.26295710186986
7 0 0 "M" 0 3 1 0 0.56 38.684197586662 26.3272016263445 0 12.3569959603175
8 0 0 "M" 0 1 2 0 0.566667 -7.72279548938605 -3.22494211180919 0 -4.49785337757687
9 0 0 "M" 0 1 1 0 0.553333 -0.6551953944819 3.99435864553881 0 -4.64955404002071
10 0 0 "M" 0 2 3 0 0.53 3.23296408197625 -4.57476741412842 0 7.80773149610467
11 0 0 "M" 0 1 2 0 0.55 1.66887920109442 -6.23288488866931 0 7.90176408976373
12 0 0 "M" 0 1 1 0 0.59 7.61825841106788 -2.54391590001503 0 10.1621743110829
13 0 0 "M" 0 1 1 0 0.556667 3.86814167793419 -2.5763243522956 0 6.44446603022979
14 0 0 "M" 0 1 2 0 0.576667 20.0853651279068 11.777108762653 0 8.30825636525373
15 0 0 "M" 0 1 3 0 0.526667 14.6654120785155 -2.03357529623982 0 16.6989873747554
16 0 0 "M" 0 1 1 0 0.513333 -8.66437682758645 -6.40276663142958 0 -2.26161019615687
17 0 0 "M" 0 2 0 0 0.593333 -1.86963647213533 1.78372824424067 0 -3.653364716376
18 0 0 "M" 0 2 2 0 0.58 14.3606058788162 -5.47696876971 0 19.8375746485262
19 0 0 "M" 0 2 2 0 0.5 0.663295764559231 -5.9993416116563 0 6.66263737621553
20 0 0 "M" 0 2 1 0 0.523333 5.28208669518319 2.11793130973276 0 3.16415538545043
21 0 0 "M" 0 0 2 0 0.54 17.3629048149668 7.77096641028995 0 9.59193840467686
22 0 0 "M" 0 4 2 0 0.55 27.9359513535277 13.4238067195549 0 14.5121446339728
23 0 0 "M" 0 2 2 0 0.5 11.8965220412316 7.51217824948857 0 4.384343791743
24 0 0 "M" 0 1 3 0 0.573333 -12.6817466458353 -1.0858484370016 0 -11.5958982088337
25 0 0 "M" 0 1 1 0 0.573333 24.1047987045611 15.4203193744089 0 8.68447933015221
26 0 0 "M" 0 4 1 0 0.533333 16.5831847845977 -5.52398713832935 0 22.107171922927
27 0 0 "M" 0 2 0 0 0.573333 -7.68500879332205 -20.2128285960171 0 12.5278198026951
28 0 0 "M" 0 3 1 0 0.546667 7.38437882006614 12.8185206191808 0 -5.4341417991147
29 0 0 "M" 0 1 3 0 0.64 -17.1186140488542 -11.527210777969 0 -5.59140327088513
30 0 0 "M" 0 0 2 0 0.52 6.36149142144287 -7.05183458051044 0 13.4133260019533
31 0 0 "F" 0 1 2 0 0.543333 -0.0367776368650556 14.9680736272827 0 -15.0048512641478
32 0 0 "F" 0 1 0 0 0.553333 -19.9706227604072 -17.775997692121 0 -2.19462506828613
33 0 0 "F" 0 3 0 0 0.533333 12.2369426975981 8.02255675589017 0 4.21438594170797
34 0 0 "F" 0 1 2 0 0.566667 -11.4129409509501 -13.2074738560752 0 1.79453290512519
35 0 0 "F" 0 2 1 0 0.546667 -8.1905128653743 -4.86796591566423 0 -3.32254694971007
36 0 0 "F" 0 2 0 0 0.59 6.44831574699985 -15.3984929257811 0 21.846808672781
37 0 0 "F" 0 2 0 0 0.573333 -12.9576406858684 -9.28297134402533 0 -3.67466934184305
38 0 0 "F" 0 2 1 0 0.55 -10.3607403263878 -17.1323721524101 0 6.77163182602236
39 0 0 "F" 0 2 0 0 0.546667 3.7743720307082 1.75348300199659 0 2.02088902871161
40 0 0 "F" 0 1 0 0 0.53 -46.7099591049828 -29.4867898735631 0 -17.2231692314198
41 0 0 "F" 0 0 2 0 0.53 17.6274755648769 5.93758611102829 0 11.6898894538486
42 0 0 "F" 0 0 1 0 0.626667 -9.72629230055285 -11.6940767071795 0 1.96778440662663
43 0 0 "F" 0 1 0 0 0.603333 -6.85365979221672 -1.698248645222 0 -5.15541114699472
44 0 0 "F" 0 3 0 0 0.593333 28.2388152877305 13.5094960598314 0 14.7293192278992
