"Progeny" "Sire" "Dam" "Sex" "G" "NMPrg" "NFPrg" "F" "Homo" "Phen" "Res" "Polygene" "QTL"
1 0 0 "M" 0 3 1 0 0.526667 -6.60927987446829 -4.45778264836677 0 -2.15149722610153
2 0 0 "M" 0 1 1 0 0.54 -5.12299416908674 -12.058565689643 0 6.93557152055622
3 0 0 "M" 0 3 2 0 0.556667 17.8614903205888 0.411263138456899 0 17.4502271821319
4 0 0 "M" 0 1 1 0 0.506667 28.9274440321623 6.39388407571143 0 22.5335599564509
5 0 0 "M" 0 2 3 0 0.573333 0.888693088408242 -7.86554355912735 0 8.75423664753559
6 0 0 "M" 0 2 3 0 0.54 6.94073424319873 -3.8548929809552 0 10.7956272241539
7 0 0 "M" 0 0 3 0 0.573333 3.65142638983551 -4.75867884077706 0 8.41010523061257
8 0 0 "M" 0 2 1 0 0.563333 23.7769222873517 7.19750691474437 0 16.5794153726073
9 0 0 "M" 0 3 0 0 0.62 6.65902145895995 -0.18505622887574 0 6.84407768783569
10 0 0 "M" 0 2 0 0 0.543333 -16.3932735175947 -13.7311775893855 0 -2.66209592820928
11 0 0 "M" 0 1 1 0 0.56 -3.25692278912044 -9.82427827680338 0 6.56735548768294
12 0 0 "M" 0 2 2 0 0.583333 -16.4136333077274 -5.54488701581857 0 -10.8687462919089
13 0 0 "M" 0 4 1 0 0.576667 27.8190292527292 1.21381188657659 0 26.6052173661526
14 0 0 "M" 0 4 1 0 0.49 7.56401312869615 -1.20872315937481 0 8.77273628807096
15 0 0 "M" 0 2 3 0 0.606667 -18.3117922155403 -13.3604104855461 0 -4.95138172999415
16 0 0 "M" 0 1 1 0 0.536667 3.49562180953929 1.70057481208407 0 1.79504699745522
17 0 0 "M" 0 1 1 0 0.553333 19.9613444233867 1.55078715940733 0 18.4105572639793
18 0 0 "M" 0 3 3 0 0.55 12.1322701822123 0.249318673672384 0 11.8829515085399
19 0 0 "M" 0 2 2 0 0.513333 -13.5479469425104 -20.4658541402115 0 6.91790719770103
20 0 0 "M" 0 1 2 0 0.526667 11.8347137915058 2.13154105608615 0 9.70317273541963
21 0 0 "M" 0 1 1 0 0.54 25.8923451206523 26.7007166431368 0 -0.808371522484524
22 0 0 "M" 0 2 2 0 0.53 -14.6972588513759 -12.2701600631211 0 -2.42709878825483
23 0 0 "M" 0 1 1 0 0.593333 12.8008834591839 8.34247331947683 0 4.4584101397071
24 0 0 "M" 0 2 3 0 0.553333 11.3932658689735 5.32571747050487 0 6.0675483984686
25 0 0 "M" 0 3 2 0 0.53 -3.06814359602813 -6.46824963186768 0 3.40010603583955
26 0 0 "M" 0 1 1 0 0.523333 10.4036888124 6.03161260832291 0 4.37207620407707
27 0 0 "M" 0 0 2 0 0.516667 -3.57030418149745 -17.8384413571217 0 14.2681371756242
28 0 0 "M" 0 1 3 0 0.56 21.1496240727764 3.34942167117471 0 17.8002024016017
29 0 0 "M" 0 2 2 0 0.593333 18.9996960523644 5.60975721885086 0 13.3899388335135
30 0 0 "M" 0 0 2 0 0.573333 25.6444353827583 12.2093565459939 0 13.4350788367643
31 0 0 "F" 0 2 1 0 0.513333 -1.8491020102779 -2.11453587717209 0 0.265433866894187
32 0 0 "F" 0 0 2 0 0.5 16.4713933685532 6.99429525136215 0 9.47709811719108
