"Progeny" "Sire" "Dam" "Sex" "G" "NMPrg" "NFPrg" "F" "Homo" "Phen" "Res" "Polygene" "QTL"
248 119 222 "F" 3 0 0 0 0.513333 -5.49254328606802 -18.4360545741036 0 12.9435112880355
249 119 93 "F" 3 0 0 0 0.55 11.3679952364372 2.52644887701057 0 8.84154635942663
250 206 69 "M" 3 0 0 0 0.586667 45.1292295899824 18.4575210735394 0 26.671708516443
251 206 79 "F" 3 0 0 0 0.553333 21.8248743042042 -0.908274182220927 0 22.7331484864251
252 206 173 "M" 3 0 0 0 0.556667 10.4039717326095 -7.6391032115807 0 18.0430749441902
253 142 128 "M" 3 0 0 0 0.6 -12.7324932829103 -5.21377539427426 0 -7.51871788863602
254 142 50 "F" 3 0 0 0 0.536667 20.68894433702 1.35256236496587 0 19.3363819720541
255 142 33 "F" 3 0 0 0 0.486667 -0.126158519425046 -3.74638091177461 0 3.62022239234957
256 126 152 "F" 3 0 0 0 0.533333 -9.9043798135605 -20.0005149562449 0 10.0961351426844
257 126 39 "F" 3 0 0 0 1 28.3177549049355 5.61501732678822 0 22.7027375781473
258 126 47 "M" 3 0 0 0 0.533333 22.7375817135375 3.74367247892305 0 18.9939092346144
259 235 136 "F" 3 0 0 0 0.553333 8.79348749327391 12.8503294522349 0 -4.05684195896103
260 235 100 "M" 3 0 0 0 0.6 2.19664955258591 -6.00837337822299 0 8.20502293080891
261 235 81 "M" 3 0 0 0 0.55 5.03829024394413 -0.412101632366226 0 5.45039187631035
262 116 146 "F" 3 0 0 0 0.586667 15.5413438405842 -6.03141861874782e-06 0 15.5413498720029
263 116 41 "F" 3 0 0 0 0.546667 -1.1960291904471 1.59279567941165 0 -2.78882486985875
264 116 194 "F" 3 0 0 0 0.533333 -24.4131077301331 -19.8190493012548 0 -4.59405842887834
265 145 67 "F" 3 0 0 0 0.586667 5.30323156926091 5.19219623802285 0 0.111035331238061
266 145 56 "F" 3 0 0 0 0.533333 16.7574547095929 0.4854923326159 0 16.271962376977
267 145 77 "M" 3 0 0 0 0.503333 19.6693604242926 10.5503090195333 0 9.11905140475923
268 228 31 "M" 3 0 0 0 0.596667 -13.2867671322651 -8.38859954037615 0 -4.89816759188891
269 228 70 "F" 3 0 0 0 0.503333 30.5716982433671 21.240062268231 0 9.3316359751361
270 228 40 "M" 3 0 0 0 0.56 12.8595134255342 0.158883840458574 0 12.7006295850756
271 105 86 "M" 3 0 0 0 0.556667 10.7319455305141 -9.21846806184525 0 19.9504135923594
272 105 42 "M" 3 0 0 0 0.526667 1.40807118432415 -7.61477147488872 0 9.02284265921286
273 137 90 "F" 3 0 0 0 0.56 -2.04461497522738 -7.0718972876329 0 5.02728231240551
