"Progeny" "Sire" "Dam" "Sex" "G" "NMPrg" "NFPrg" "F" "Homo" "Phen" "Res" "Polygene" "QTL"
1 0 0 "M" 0 2 1 0 0.622074 -24.9414051338368 -2.95813068561571 0 -21.9832744482211
2 0 0 "M" 0 2 0 0 0.575251 -19.5711911650178 0.259998836031399 0 -19.8311900010492
3 0 0 "M" 0 4 1 0 0.585284 -16.1317260927311 3.98051757848175 0 -20.1122436712128
4 0 0 "M" 0 3 1 0 0.528428 -14.6332931959258 -4.26524533335251 0 -10.3680478625733
5 0 0 "M" 0 2 4 0 0.565217 -1.35301563018196 4.80517101441982 0 -6.15818664460179
6 0 0 "M" 0 3 1 0 0.595318 -1.71698013318406 25.2394565138012 0 -26.9564366469852
7 0 0 "M" 0 0 3 0 0.585284 3.70948339863323 19.7920287980212 0 -16.082545399388
8 0 0 "M" 0 1 1 0 0.541806 -0.612287003861363 4.32763602136584 0 -4.9399230252272
9 0 0 "M" 0 2 2 0 0.608696 10.4405001517438 8.46613034649626 0 1.97436980524758
10 0 0 "M" 0 1 1 0 0.535117 -25.3193594297605 -4.59244486901928 0 -20.7269145607412
11 0 0 "M" 0 0 4 0 0.521739 -14.7393245499522 1.20709896477557 0 -15.9464235147278
12 0 0 "M" 0 1 1 0 0.511706 -9.97052796751175 2.43146939499155 0 -12.4019973625033
13 0 0 "M" 0 2 2 0 0.598662 -46.1311581961451 -11.9479652187216 0 -34.1831929774235
14 0 0 "M" 0 1 2 0 0.588629 -30.9469402935855 3.55353170727101 0 -34.5004720008565
15 0 0 "M" 0 0 4 0 0.575251 -12.8331659024709 -0.595752388929959 0 -12.237413513541
16 0 0 "M" 0 2 1 0 0.578595 -20.9015731318147 -7.06204621848795 0 -13.8395269133268
17 0 0 "M" 0 3 2 0 0.568562 -29.1112410097701 -4.94125757525547 0 -24.1699834345146
18 0 0 "M" 0 1 1 0 0.555184 -15.7639948441169 -2.1326739077408 0 -13.6313209363761
19 0 0 "M" 0 2 2 0 0.531773 -16.2796679155037 4.93953791470983 0 -21.2192058302135
20 0 0 "M" 0 1 2 0 0.565217 7.24127050379537 10.4046651649229 0 -3.16339466112754
21 0 0 "M" 0 5 1 0 0.521739 -21.8307880929187 -12.0560227345253 0 -9.77476535839341
22 0 0 "M" 0 2 2 0 0.588629 -33.1899602510204 -2.85345304243166 0 -30.3365072085887
23 0 0 "M" 0 2 3 0 0.538462 -24.0540682562126 -1.78736259407868 0 -22.2667056621339
24 0 0 "M" 0 1 1 0 0.561873 -22.1024260615478 1.31039366060869 0 -23.4128197221565
25 0 0 "M" 0 3 1 0 0.561873 -0.543896546958379 16.0512902244736 0 -16.5951867714319
26 0 0 "M" 0 0 3 0 0.571906 -35.1182733898935 -12.9527798840829 0 -22.1654935058106
27 0 0 "M" 0 1 1 0 0.551839 -23.2703696712778 -2.53602355456026 0 -20.7343461167175
28 0 0 "M" 0 0 2 0 0.571906 -24.3656681569091 5.47449014426052 0 -29.8401583011696
29 0 0 "M" 0 2 2 0 0.591973 -13.0278224805838 2.38878842832998 0 -15.4166109089138
30 0 0 "M" 0 2 0 0 0.555184 -20.7936540702865 -7.85301000055055 0 -12.9406440697359
31 0 0 "F" 0 2 1 0 0.498328 6.58365935240495 14.2598388008699 0 -7.67617944846492
32 0 0 "F" 0 0 3 0 0.615385 -12.5386938346045 -3.54290367066629 0 -8.99579016393825
33 0 0 "F" 0 1 2 0 0.521739 -32.1816458681837 3.54477039016558 0 -35.7264162583493
34 0 0 "F" 0 2 1 0 0.545151 3.22812445815984 21.6366726314585 0 -18.4085481732987
35 0 0 "F" 0 0 3 0 0.575251 -22.1655000824254 -1.71104181123598 0 -20.4544582711894
36 0 0 "F" 0 0 3 0 0.545151 -6.44299942909672 9.86995324651993 0 -16.3129526756166
37 0 0 "F" 0 2 0 0 0.565217 -11.9412291867328 -5.50918019863667 0 -6.43204898809608
38 0 0 "F" 0 1 0 0 0.538462 -22.8672524130911 -2.66992696009313 0 -20.197325452998
39 0 0 "F" 0 3 0 0 0.588629 -37.4070226756741 -11.3174675184732 0 -26.0895551572008
40 0 0 "F" 0 1 2 0 0.602007 -38.4613331601158 -17.1822150810723 0 -21.2791180790435
41 0 0 "F" 0 2 1 0 0.561873 9.52833104680594 17.9874789652456 0 -8.45914791843961
42 0 0 "F" 0 2 1 0 0.538462 -13.3263039257662 7.10467023209981 0 -20.430974157866
43 0 0 "F" 0 0 2 0 0.548495 -24.3250009624828 -18.2063701462996 0 -6.1186308161832
44 0 0 "F" 0 3 0 0 0.565217 0.922303952083857 6.44443678661034 0 -5.52213283452648
45 0 0 "F" 0 0 1 0 0.558528 -1.72080369697952 -0.7668993578999 0 -0.953904339079623
